Ingreso(Miles);Nivel Educacional;Años de servicio;Zona;Antigüedad;Género
64;4;5;1;0;1
136;5;5;1;0;1
116;1;29;1;1;1
33;2;0;2;0;2
30;1;2;1;0;1
78;2;16;1;1;1
19;2;4;2;0;2
76;2;10;1;0;1
166;4;31;2;1;2
72;1;22;2;1;1
125;4;5;2;0;1
80;2;15;2;1;1
37;2;9;1;0;2
115;4;23;2;1;1
25;1;8;1;0;1
75;5;1;1;0;2
162;2;30;2;1;1
49;2;6;2;0;2
20;1;3;1;0;1
77;4;2;2;0;2
16;3;1;1;0;1
120;1;24;2;1;2
101;5;4;2;0;2
67;1;25;2;1;2
36;1;5;1;0;1
33;2;0;2;0;2
37;2;8;2;0;2
31;1;5;1;0;1
17;2;2;1;0;1
19;4;0;1;0;1
36;1;13;1;0;1
155;5;12;2;0;2
140;2;21;1;1;1
55;5;0;2;0;2
163;3;24;2;1;2
52;4;0;2;0;2
211;4;25;2;1;2
186;2;17;1;1;1
39;1;1;2;0;2
22;2;35;1;1;1
30;1;7;2;0;2
29;2;4;2;0;2
23;2;8;1;0;1
62;4;10;1;0;1
76;4;20;1;1;1
74;4;16;1;1;1
63;4;19;1;1;1
36;4;8;1;0;1
33;2;8;2;0;2
29;2;9;2;0;2
27;2;1;2;0;2
49;2;12;2;0;2
24;4;0;1;0;1
26;2;2;2;0;2
47;3;5;1;0;1
94;2;18;2;1;1
21;3;4;2;0;1
27;1;0;1;0;1
30;2;2;2;0;1
127;4;12;2;0;2
137;2;20;2;1;1
80;2;24;2;1;2
30;2;2;1;0;2
438;4;23;2;1;2
79;2;16;1;1;2
63;1;23;1;1;1
40;3;10;2;0;2
51;1;34;2;1;1
37;3;5;2;0;2
61;4;11;2;0;2
22;2;9;1;0;1
44;4;3;2;0;2
17;3;5;1;0;1
110;5;15;2;1;1
91;2;24;2;1;1
46;2;8;1;0;1
85;3;12;2;0;2
10;2;12;2;0;1
244;1;47;1;;2
80;4;15;1;1;2
83;5;1;1;0;2
21;1;6;1;0;2
24;2;3;2;0;1
351;3;31;1;1;2
169;4;29;2;1;1
46;2;7;1;0;1
34;3;3;2;0;2
50;4;3;2;0;2
161;5;6;1;0;1
212;4;17;2;1;2
80;5;11;2;0;2
30;4;7;1;0;1
53;5;1;2;0;2
73;5;4;1;0;1
17;2;0;2;0;2
23;5;3;1;0;1
34;1;8;2;0;1
107;1;19;2;1;1
21;1;1;1;0;1
83;2;16;2;1;1
17;3;0;2;0;2
76;3;2;1;0;1
19;1;0;1;0;2
49;4;3;1;0;2
173;3;22;1;1;2
47;3;10;2;0;2
41;2;11;1;0;1
105;3;13;2;0;2
31;4;2;1;0;1
41;2;17;2;1;2
102;4;9;2;0;2
36;4;0;1;0;1
24;1;3;2;0;2
25;4;0;2;0;2
68;2;21;1;1;1
20;3;0;1;0;1
48;1;15;1;1;1
40;2;8;1;0;1
79;1;25;2;1;2
28;1;0;1;0;1
64;2;22;1;1;1
37;2;11;2;0;2
48;1;13;1;0;1
131;5;6;2;0;2
18;2;2;2;0;2
38;2;14;2;0;2
37;2;4;2;0;2
60;4;6;1;0;1
13;3;0;2;0;2
98;1;31;1;1;1
195;1;23;1;1;1
47;1;14;1;0;1
65;2;22;2;1;2
150;5;5;1;0;1
106;5;8;1;0;1
51;4;14;2;0;2
96;4;0;1;0;1
33;5;7;2;0;2
38;2;1;2;0;2
125;4;5;2;0;2
145;5;0;2;0;2
99;2;21;1;1;1
22;4;0;1;0;1
31;1;38;1;1;1
25;1;6;1;0;1
57;5;0;2;0;2
41;5;20;1;1;1
20;3;1;1;0;1
101;2;22;2;1;2
56;2;15;1;1;1
22;2;5;2;0;2
108;4;9;2;0;2
115;4;20;2;1;2
53;4;22;2;1;2
242;4;12;1;0;1
20;2;3;2;0;2
123;4;11;1;0;1
34;1;12;1;0;1
31;4;3;1;0;1
47;1;12;2;0;2
48;3;8;1;0;1
13;2;5;1;0;1
78;1;25;2;1;2
34;1;7;1;0;1
81;5;9;2;0;2
86;2;25;2;1;2
26;4;2;2;0;2
51;2;8;2;0;2
59;3;10;1;0;1
112;4;16;1;1;1
57;4;28;1;1;1
41;1;2;1;0;1
168;2;26;2;1;2
29;4;4;1;0;1
167;2;14;1;0;1
29;2;3;2;0;2
104;1;26;1;1;1
46;4;0;2;0;2
46;4;1;2;0;2
51;4;0;2;0;2
65;2;18;2;1;2
48;2;13;1;0;1
